Date,State,Price
2021-10-10,Delhi,3600.0
2021-10-10,Karnataka,1130.0
2021-10-11,Delhi,3589.0
2021-10-11,Karnataka,1000.0
2021-10-11,Maharashtra,700.0
2021-10-12,Delhi,3889.0
2021-10-12,Karnataka,1460.0
2021-10-13,Delhi,3600.0
2021-10-13,Karnataka,1460.0
2021-10-14,Delhi,4000.0
2021-10-14,Karnataka,1330.0
2021-10-14,Maharashtra,3000.0
2021-10-15,Delhi,4002.6666666666665
2021-10-15,Karnataka,1330.0
2021-10-15,Maharashtra,3500.0
2021-10-16,Delhi,3872.0
2021-10-16,Karnataka,1400.0
2021-10-16,Maharashtra,3500.0
2021-10-17,Delhi,4000.0
2021-10-17,Karnataka,1330.0
2021-10-17,Maharashtra,3500.0
2021-10-18,Delhi,3530.6666666666665
2021-10-18,Karnataka,2000.0
2021-10-18,Maharashtra,2750.0
2021-10-19,Delhi,4133.333333333333
2021-10-19,Karnataka,1460.0
2021-10-19,Maharashtra,2750.0
2021-10-20,Delhi,3977.0
2021-10-20,Karnataka,1460.0
2021-10-20,Maharashtra,3000.0
2021-10-21,Delhi,4280.333333333333
2021-10-21,Karnataka,2000.0
2021-10-21,Maharashtra,625.0
2021-10-22,Delhi,3313.0
2021-10-22,Karnataka,1530.0
2021-10-22,Maharashtra,3000.0
2021-10-23,Delhi,3309.0
2021-10-23,Karnataka,1330.0
2021-10-23,Maharashtra,3000.0
2021-10-24,Delhi,3200.0
2021-10-24,Karnataka,1330.0
2021-10-25,Delhi,2881.6666666666665
2021-10-25,Karnataka,1260.0
2021-10-25,Maharashtra,2750.0
2021-10-26,Delhi,3472.5
2021-10-26,Karnataka,1260.0
2021-10-27,Delhi,2745.0
2021-10-27,Karnataka,1330.0
2021-10-27,Maharashtra,2500.0
2021-10-28,Delhi,2476.0
2021-10-28,Karnataka,1260.0
2021-10-28,Maharashtra,2500.0
2021-10-29,Delhi,3294.0
2021-10-29,Karnataka,1330.0
2021-10-29,Maharashtra,2500.0
2021-10-30,Delhi,3116.0
2021-10-30,Karnataka,1400.0
2021-10-30,Maharashtra,2750.0
2021-10-31,Delhi,3400.0
2021-10-31,Karnataka,1400.0
2021-10-31,Maharashtra,3000.0
2021-11-01,Delhi,3400.0
2021-11-01,Karnataka,1460.0
2021-11-01,Maharashtra,2750.0
2021-11-02,Delhi,3600.0
2021-11-02,Karnataka,1660.0
2021-11-02,Maharashtra,3000.0
2021-11-03,Delhi,3418.0
2021-11-03,Karnataka,1460.0
2021-11-03,Maharashtra,2750.0
2021-11-04,Delhi,3418.0
2021-11-04,Karnataka,1460.0
2021-11-04,Maharashtra,2750.0
2021-11-05,Delhi,3472.6666666666665
2021-11-05,Karnataka,1660.0
2021-11-05,Maharashtra,2750.0
